date,open,high,low,close,volume
2025-01-02,99.95,100.31,99.27,99.88,1831059
2025-01-03,99.31,99.98,98.09,98.65,841716
2025-01-06,98.99,99.64,98.56,99.05,1709838
2025-01-07,98.99,99.05,98.08,98.19,809098
2025-01-08,97.76,99.30,97.22,99.00,2140098
2025-01-09,99.11,99.98,98.03,98.76,1645216
2025-01-10,98.31,100.01,98.09,99.62,1329948
2025-01-13,99.44,99.48,97.21,97.22,1608293
2025-01-14,97.13,97.60,96.51,97.18,911708
2025-01-15,97.31,97.64,96.51,97.32,1310765
2025-01-16,97.47,97.79,95.70,96.76,1707249
2025-01-17,96.65,97.01,95.98,96.20,1331237
2025-01-20,96.17,98.22,95.94,98.19,1979992
2025-01-21,97.98,99.08,97.54,98.43,1174837
2025-01-22,99.12,99.90,98.90,99.31,1717614
2025-01-23,99.72,99.89,96.50,96.95,1145278
2025-01-24,96.86,97.01,95.97,96.04,1359160
2025-01-27,97.02,97.29,96.63,97.01,865962
2025-01-28,97.27,99.04,97.18,98.56,888938
2025-01-29,99.23,99.61,95.02,95.26,2005091
2025-01-30,95.29,97.70,95.23,97.46,1173555
2025-01-31,97.35,97.45,96.60,97.12,2135342
2025-02-03,96.96,98.16,96.57,97.95,2077678
2025-02-04,97.77,98.96,97.69,98.82,1013974
2025-02-05,98.46,99.50,98.42,99.04,800800
2025-02-06,99.09,100.04,98.86,98.99,1964331
2025-02-07,99.09,100.00,98.80,98.90,919914
2025-02-10,98.91,99.34,98.35,98.46,979748
2025-02-11,98.52,98.86,95.84,96.82,1392393
2025-02-12,97.17,97.66,96.97,97.30,1236402
2025-02-13,97.28,99.41,96.76,99.35,969405
2025-02-14,99.61,99.84,99.33,99.63,1108304
2025-02-17,99.81,101.98,98.77,101.48,2003489
2025-02-18,101.58,102.82,101.36,102.51,985236
2025-02-19,102.35,104.43,101.85,104.31,1930495
2025-02-20,104.44,104.75,103.88,104.63,1453834
2025-02-21,104.17,104.99,103.76,104.43,1363669
2025-02-24,104.96,105.38,102.35,102.97,1428058
2025-02-25,103.08,103.50,100.92,102.02,1420383
2025-02-26,101.72,104.80,100.95,103.27,1970438
2025-02-27,103.13,107.13,102.87,106.59,1479897
2025-02-28,106.90,107.73,106.36,107.01,2179432
2025-03-03,107.57,107.68,106.33,106.85,2140244
2025-03-04,106.84,109.24,106.59,108.84,1215390
2025-03-05,108.76,110.98,108.46,110.89,880031
2025-03-06,110.69,111.25,109.11,109.40,2145090
2025-03-07,109.50,110.38,109.34,110.34,1129285
2025-03-10,110.82,113.26,109.93,112.80,1667134
2025-03-11,113.02,113.35,110.73,111.07,1085962
2025-03-12,110.82,110.96,110.08,110.91,1219995
2025-03-13,111.42,112.20,109.35,109.95,2197836
2025-03-14,109.95,111.14,109.26,110.64,2106563
2025-03-17,110.18,113.38,109.59,113.06,1967242
2025-03-18,112.62,113.56,112.12,112.53,810952
2025-03-19,112.27,113.20,112.04,113.16,988007
2025-03-20,113.27,113.79,112.90,113.59,1646761
2025-03-21,113.36,113.64,112.98,113.24,1483944
2025-03-24,112.87,116.41,112.22,115.64,1187352
2025-03-25,115.65,118.58,115.40,118.28,1837723
2025-03-26,118.16,118.78,116.01,116.48,2036348
2025-03-27,116.23,118.74,116.17,118.03,1007331
2025-03-28,118.25,119.86,118.15,118.87,2004983
2025-03-31,118.73,120.13,118.09,119.65,1892162
2025-04-01,119.41,121.12,119.07,120.79,2101833
2025-04-02,120.04,124.47,119.83,123.69,834700
2025-04-03,123.36,124.51,123.14,123.41,2009689
2025-04-04,123.14,124.31,122.82,123.77,2021033
2025-04-07,123.56,125.06,123.45,124.40,1227267
