date,close,sma_10,delta_sma,rsi_14,requested_action,executed_action,quantity,fee,cash_before,cash_after,holdings_before,holdings_after,portfolio_value,reward,rejected_reason,action_name,explanation,matched_rules
2025-07-03,132.69,132.699,-6.782266633519884e-05,59.44162436548222,1,1,18,2.38842,10000.0,7609.19158,0,18,9997.61158,-2.3884199999993143,,Buy,The Q-learning agent selected Buy at $132.69. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-07-04,132.24,132.558,-0.0023989498936313434,57.69423558897248,1,1,14,1.8513600000000001,7609.19158,5755.9802199999995,18,32,9987.66022,-9.951360000000932,,Buy,The Q-learning agent selected Buy at $132.24. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-07-07,130.91,132.328,-0.010715797110211039,52.27161700048853,1,1,10,1.3091,5755.9802199999995,4445.57112,32,42,9943.79112,-43.86909999999989,,Buy,The Q-learning agent selected Buy at $130.91. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-07-08,128.5,132.119,-0.027391972388528522,41.10251450676981,0,0,0,0.0,4445.57112,4445.57112,42,42,9842.57112,-101.21999999999935,,Hold,The Q-learning agent selected Hold at $128.50. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'NO_TRADE']"
2025-07-09,125.29,131.577,-0.047781907172226086,27.474081055607954,0,0,0,0.0,4445.57112,4445.57112,42,42,9707.75112,-134.8199999999997,,Hold,The Q-learning agent selected Hold at $125.29. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-10,123.19,130.803,-0.05820202900545094,26.35623869801087,0,0,0,0.0,4445.57112,4445.57112,42,42,9619.55112,-88.20000000000073,,Hold,The Q-learning agent selected Hold at $123.19. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-11,122.78,129.754,-0.05374786133760801,26.39203259393392,0,0,0,0.0,4445.57112,4445.57112,42,42,9602.331119999999,-17.220000000001164,,Hold,The Q-learning agent selected Hold at $122.78. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-14,120.7,128.467,-0.06045910622961546,27.053364269141554,0,0,0,0.0,4445.57112,4445.57112,42,42,9514.97112,-87.35999999999876,,Hold,The Q-learning agent selected Hold at $120.70. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-15,120.28,126.89000000000001,-0.052092363464418104,26.132723112128147,0,0,0,0.0,4445.57112,4445.57112,42,42,9497.331119999999,-17.640000000001237,,Hold,The Q-learning agent selected Hold at $120.28. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-16,118.65,125.523,-0.05475490547549047,23.60275150472917,0,0,0,0.0,4445.57112,4445.57112,42,42,9428.87112,-68.45999999999913,,Hold,The Q-learning agent selected Hold at $118.65. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
